Transcription-Units	Regulation - regulator proteins of transcription unit	Sequence - coordinates of DNA region	Genes of transcription unit	Direction
TU0-14514	CPLX0-3930	[csgC 1,104,931 &rarr; 1,105,293]	G6548	+
TU0-4205		[yqjA-mzrA 3,247,643 &rarr; 3,248,822]	G7610 // G7609	+
TU0-5881		[ubiEJB 4,018,855 &rarr; 4,021,866]	EG11476 // EG11474 // EG11473	+
TU0-13149		[ymfJ 1,201,776 &larr; 1,202,084]	G6588	-
TU0-8574	PD04418	[yhbO 3,298,974 &rarr; 3,299,492]	G7647	+
TU0-13625		[murQP-yfeW 2,545,773 &rarr; 2,549,406]	G7265 // G7264 // G7263	+
TU00090	CPLX0-7715	[ilvC 3,957,851 &rarr; 3,959,445]	EG10495	+
TU0-13556	PD00353	[radD 2,280,622 &rarr; 2,282,392]	EG12045	+
TU0-14026	PHOSPHO-CREB // G7072-MONOMER	[cbrB 3,897,506 &rarr; 3,897,973]	EG11726	+
TU00477	PC00027 // PD00353	[ompC 2,311,610 &larr; 2,312,887]	EG10670	-
TU0-14492		[dcd 2,141,634 &larr; 2,142,245]	EG11418	-
TU0-41795	EG12243-MONOMER // CPLX-172 // PD00266 // PD00353	[ydeNM 1,579,633 &larr; 1,582,554]	G6787 // G6788	-
TU0-5561	PD00353	[mutY-yggX-mltC-nupG 3,102,988 &rarr; 3,106,970]	EG10664 // G7533 // G7532 // EG10627	+
TU0-13131		[mdtH 1,124,118 &larr; 1,125,326]	G6559	-
TU0-8557		[ybcY 582,152 &larr; 582,806]	G6316	-
TU0-13608	G7072-MONOMER	[yfdE 2,488,023 &larr; 2,489,168]	G7234	-
TU00074	CPLX0-7796 // PD00214 // G7072-MONOMER	[ahpCF 638,877 &rarr; 641,318]	EG11384 // EG11385	+
TU0-13538	CPLX0-226	[preTA 2,233,989 &rarr; 2,236,500]	EG11289 // G7145	+
TU0-14010	PD00406	[nepI 3,840,549 &larr; 3,841,771]	EG11689	-
TU00460	CPLX0-8563 // CPLX0-7639	[fecIR 4,516,764 &larr; 4,518,282]	EG10292 // EG10291	-
TU0-14469		[ygbF 2,878,569 &larr; 2,878,915]	EG12845	-
TU0-3941	PD02198 // PD00353	[ftsQ 102,705 &rarr; 103,985]	EG10342	+
TU0-5201	CPLX0-7705 // EG12386-MONOMER	[pdxA-rsmA-apaGH 50,380 &larr; 53,446]	EG10048 // EG10047 // EG10523 // EG10691	-
TU0-13115	CPLX0-7748	[efeU 1,081,252 &rarr; 1,082,185]	G6525	+
TU0-8541	G7072-MONOMER	[yafC 229,967 &larr; 230,881]	EG11649	-
TU0-13591		[folC-dedD 2,430,850 &larr; 2,432,942]	EG10327 // EG10218	-
TU00058	CPLX-123 // CPLX0-7797 // PD00353	[purMN 2,620,960 &rarr; 2,622,872]	EG10798 // EG10799	+
TU0-13519		[metG 2,194,269 &rarr; 2,196,366]	EG10586	+
TU0-13995	CPLX0-226	[secB-gpsA 3,782,642 &larr; 3,784,203]	EG10937 // EG20091	-
TU00443	PC00061 // CPLX0-226	[epd-pgk 3,071,431 &larr; 3,073,823]	EG10703 // EG10368	-
TU0-14445	PC00010 // CPLX0-228 // PD00353 // EG12386-MONOMER	[ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC 91,012 &rarr; 107,474]	EG10265 // EG10347 // EG10339 // EG10342 // EG10214 // EG10619 // EG10623 // EG10344 // EG10620 // EG10604 // EG10622 // EG10621 // EG10341 // EG11086	+
TU0-36431		[kdsC-lptCAB 3,342,010 &rarr; 3,344,669]	EG11680 // G7665 // G7664 // G7663	+
TU0-5001	PC00027 // PD00353	[ibpB 3,866,469 &larr; 3,866,981]	EG11535	-
TU0-13099		[yccFS 1,021,730 &larr; 1,024,365]	G6496 // G6495	-
TU0-8523		[ybaP 507,286 &larr; 508,080]	G6258	-
TU00042	CPLX0-7639 // CPLX0-7759 // PD00353	[metH 4,223,659 &rarr; 4,227,511]	EG10587	+
TU0-13502	G7072-MONOMER	[sibA 2,153,311 &rarr; 2,153,454]	G0-8884	+
TU0-13979	G7072-MONOMER	[yiaD 3,716,547 &rarr; 3,717,206]	EG12271	+
TU00426	CPLX0-7748 // PHOSPHO-HYDG	[rpoH 3,599,887 &larr; 3,601,003]	EG10897	-
TU0-14413	PC00061 // PD00353	[eno 2,906,643 &larr; 2,908,702]	EG10258	-
TU0-36408	G6761-MONOMER // PD00288	[yciG 1,315,785 &larr; 1,316,092]	EG11127	-
TU0-4823		[gabDTP 2,790,912 &rarr; 2,795,653]	EG11330 // EG10361 // EG11329	+
TU0-13081	G7072-MONOMER	[ycaD 945,871 &rarr; 947,019]	EG11242	+
TU0-8505		[rluF 4,230,354 &rarr; 4,231,226]	EG11921	+
TU00026	CPLX0-226 // CPLX0-2021 // PD03028 // PD00261 // MONOMER-52 // MONOMER-53	[galETKM 787,689 &larr; 792,086]	EG11698 // EG10363 // EG10366 // EG10362	-
TU0-13484		[yoeF 2,078,575 &rarr; 2,078,931]	G0-10456	+
TU0-13958		[rlmJ 3,645,350 &rarr; 3,646,227]	EG12234	+
TU00408	PC00103	[mngR 765,104 &larr; 765,926]	EG11109	-
TU0-14395		[ileS-lspA-fkpB-ispH 22,034 &rarr; 27,279]	EG11081 // EG11080 // EG10548 // EG10492	+
TU0-3464		[yeaY 1,889,951 &larr; 1,890,561]	G6990	-
TU0-4604	PD00214 // CPLX0-7680	[znuCB 1,942,624 &rarr; 1,944,199]	EG12368 // G7018	+
TU0-13064		[pdeI-dgcI 872,979 &rarr; 876,663]	G6434 // G6433	+
TU0-8489	PHOSPHO-ARCA	[pepN 990,591 &rarr; 993,234]	EG10696	+
TU00010	CPLX-125	[aroH 1,788,280 &rarr; 1,789,510]	EG10080	+
TU0-13464		[yedS 2,034,051 &rarr; 2,035,243]	G7052	+
TU0-13941	G7072-MONOMER	[yrhB 3,584,759 &rarr; 3,585,043]	G7763	+
TU00392	MONOMER0-4276 // PD00288 // G7571-MONOMER // CPLX0-8597 // PHOSPHO-BASR // EG11356-MONOMER // PC00061 // EG12008-MONOMER // PC00027 // PHOSPHO-RSTA // CPLX0-7748 // PC00084 // PHOSPHO-OMPR // PD01379 // CPLX0-226	[csgDEFG 1,100,851 &larr; 1,103,344]	G6543 // G6544 // G6545 // G6546	-
TU0-14373	CPLX0-8563 // PD00288 // G7072-MONOMER	[gspCDEFGHIJKLMO 3,455,527 &rarr; 3,466,220]	EG11359 // EG12173 // G7711 // G7710 // G7709 // G7708 // G7707 // G7706 // G7705 // G7704 // G7703 // G7702	+
TU0-3301		[recF 3,880,148 &larr; 3,881,841]	EG10828	-
TU0-45276	PHOSPHO-PHOB // PHOSPHO-RSTA // PD00288 // CPLX0-8597	[asr 1,671,297 &rarr; 1,671,720]	G6855	+
TU0-13047	G7947-MONOMER	[ybhL 819,858 &rarr; 820,588]	G6403	+
TU0-4522		[gntR 3,577,622 &larr; 3,578,862]	EG12630	-
TU0-8472	CPLX0-228 // PD00353	[argA 2,949,156 &rarr; 2,950,573]	EG10063	+
TU0-93010	CPLX0-226 // G7072-MONOMER // PD00353	[ytfK 4,439,413 &rarr; 4,439,793]	G7872	+
TU0-13445	CPLX0-7916	[yecT 1,961,935 &rarr; 1,962,460]	G7026	+
TU0-13923	G7072-MONOMER	[yhfL 3,499,448 &rarr; 3,499,615]	G7722	+
TU00375	CPLX0-7714 // CPLX0-226	[dsdA 2,479,121 &rarr; 2,480,530]	EG10249	+
TU0-14353		[ogrK 2,167,302 &larr; 2,167,520]	G7119	-
TU0-2741	PC00027	[amiA-hemF 2,552,241 &rarr; 2,554,124]	EG12189 // EG11823	+
TU0-45260	PD00406	[pgi 4,233,722 &rarr; 4,235,407]	EG10702	+
TU0-13031		[abrB 746,723 &larr; 747,769]	G6384	-
TU0-45205	PD00406 // PD00365 // PC00061	[poxB 909,331 &larr; 911,076]	EG10754	-
TU0-8362		[pcnB-folK 157,253 &larr; 159,195]	EG11374 // EG10690	-
TU0-8849	MONOMER0-1	[luxS 2,814,218 &larr; 2,814,816]	EG12712	-
TU0-13429		[yebV 1,921,780 &rarr; 1,922,016]	G7009	+
TU0-13904		[csrD 3,401,392 &larr; 3,403,332]	EG10018	-
TU00359		[yacC-speED 134,756 &larr; 136,940]	EG11089 // EG10962 // EG10963	-
TU0-14333		[sraB 1,146,589 &rarr; 1,146,757]	G0-8862	+
TU0-2502	PD00353	[topA 1,330,883 &rarr; 1,333,645]	EG11013	+
TU0-45245		[pcnB-folK 157,253 &larr; 159,171]	EG11374 // EG10690	-
TU0-13013		[hscC 681,723 &larr; 683,393]	G6357	-
TU0-45189	PD00353	[eno 2,906,643 &larr; 2,908,152]	EG10258	-
TU0-8343	CPLX0-7797 // G7072-MONOMER	[scpA-argK-scpBC 3,060,850 &rarr; 3,066,280]	G7517 // G7516 // EG11445 // EG11444	+
TU0-8833		[insH-11 3,652,182 &larr; 3,653,162]	G7769	-
TU0-13413		[tsaB-yeaY 1,889,951 &larr; 1,891,297]	G6991 // G6990	-
TU0-13888	EG12008-MONOMER	[ibaG 3,336,549 &larr; 3,336,886]	G7657	-
TU00340	EG11431-MONOMER // G7072-MONOMER	[rpmH-rnpA 3,884,111 &rarr; 3,884,852]	EG10892 // EG10862	+
TU0-14314		[truD 2,870,255 &larr; 2,871,304]	G7422	-
TU0-2081		[mfd 1,170,518 &larr; 1,174,028]	EG11619	-
TU0-4523		[gntR 3,577,622 &larr; 3,578,880]	EG12630	-
TU0-12997		[rna 644,197 &larr; 645,034]	EG10856	-
TU0-45173	PD00288 // PD00353 // EG11554-MONOMER // CPLX0-7705	[ssrS-ygfA 3,055,759 &rarr; 3,056,789]	EG11158 // EG30099	+
TU0-8324	G7072-MONOMER // CPLX0-7797	[narK 1,277,821 &rarr; 1,279,520]	G0-17088 // EG10642	+
TU0-8817	PD01379 // EG12386-MONOMER	[nlpA 3,839,175 &larr; 3,840,017]	EG10657	-
TU0-13395		[yeaC 1,861,702 &larr; 1,861,974]	G6964	-
TU0-13871	G7072-MONOMER	[yhaBC 3,267,854 &rarr; 3,269,602]	EG11174 // EG11173	+
TU00323	EG12386-MONOMER // PD00353	[ppk-ppx 2,623,044 &rarr; 2,626,656]	EG11403 // EG11510	+
TU0-14295		[ybbB 530,132 &larr; 531,226]	EG11768	-
TU0-1803		[pspF 1,366,818 &larr; 1,367,929]	EG12344	-
TU0-12979	EG11088-MONOMER // G7072-MONOMER	[ybcV 579,184 &larr; 579,594]	G6313	-
TU0-45150		[mqsA 3,167,851 &larr; 3,168,286]	G7571	-
TU0-8242		[ruvC 1,946,815 &larr; 1,947,439]	EG10925	-
TU0-13378		[nlpC 1,792,267 &larr; 1,792,731]	EG11133	-
TU0-8805	CPLX0-7756	[grxD 1,733,754 &larr; 1,734,162]	EG12181	-
TU0-13854	CPLX0-8230 // CPLX0-8229	[higBA 3,233,728 &larr; 3,234,480]	G7602 // G7601	-
TU00305	PHOSPHO-NARL // CPLX0-7797 // CPLX0-6 // PHOSPHO-NARP // CPLX0-3930 // G7072-MONOMER // PD00353	[napFDAGHBC-ccmABCDEFGH 2,291,358 &larr; 2,303,574]	EG12052 // EG12053 // EG12054 // EG12055 // EG12169 // EG12057 // EG12058 // EG12059 // EG12060 // EG12061 // EG12062 // EG12064 // EG12067 // EG12143 // EG12068	-
TU0-14269	CPLX0-226 // PD00288 // PD00353	[relA-mazEF 2,910,756 &larr; 2,914,277]	EG11249 // EG10571 // EG10835	-
TU0-1549	CPLX0-3930	[yhjH 3,678,420 &larr; 3,679,229]	EG12252	-
TU0-12961		[ylbG 529,645 &larr; 530,016]	G6273	-
TU0-44226	G7072-MONOMER	[nusA-infB 3,313,185 &larr; 3,317,602]	EG10505 // EG10665	-
TU0-8145	PD04418 // PD00353	[yiaG 3,719,431 &rarr; 3,719,768]	EG12624	+
TU0-13362	EG12386-MONOMER	[ydhS 1,747,131 &rarr; 1,748,735]	G6896	+
TU0-8782	MONOMER0-4536 // CPLX0-228	[dacC 880,653 &rarr; 881,929]	EG10203	+
TU0-13836	G7072-MONOMER	[ygiN 3,173,142 &rarr; 3,173,456]	EG12657	+
TU00286		[hsdMS 4,580,068 &larr; 4,583,048]	EG10460 // EG10458	-
TU0-14243		[insQ 1,503,657 &rarr; 1,504,865]	G6743	+
TU864	PHOSPHO-PHOB // PD00353 // G7072-MONOMER // EG12386-MONOMER // PHOSPHO-ARCA	[phoH 1,084,834 &rarr; 1,086,095]	EG11734	+
TU0-14816		[pgk-fbaA 3,070,165 &larr; 3,072,648]	EG10282 // EG10703	-
TU0-12941		[ylaC 478,781 &larr; 479,288]	G6253	-
TU0-4421	PD00266 // CPLX0-226	[nagE 703,715 &rarr; 705,965]	EG10635	+
TU0-7861	CPLX0-8043 // CPLX0-226 // EG12386-MONOMER	[lsrACDBFG-tam 1,601,388 &rarr; 1,608,104]	G6806 // G6805 // G6804 // G6803 // G6802 // G6801 // G6800	+
TU0-13345	CPLX0-228	[ydgI-folM 1,679,557 &rarr; 1,681,698]	G6862 // G6861	+
TU0-13342		[ydgD 1,671,960 &rarr; 1,672,781]	G6856	+
TU0-8759	CPLX0-226	[aaeR 3,389,496 &rarr; 3,390,449]	G7688	+
TU0-13817	PD00519 // G7072-MONOMER	[yghSR 3,132,454 &larr; 3,133,957]	G7551 // G7550	-
TU00266	PD01520	[fabHDG 1,148,516 &rarr; 1,151,404]	EG10277 // EG11317 // EG11318	+
TU0-14221		[yjjI 4,615,515 &larr; 4,617,065]	EG12171	-
TU784	PD00353 // G7072-MONOMER	[rsd 4,196,332 &larr; 4,196,954]	EG11738	-
TU0-14785	G6165-MONOMER	[flhDC 1,977,200 &larr; 1,978,577]	EG10319 // EG10320	-
TU0-12918	PD00353	[brnQ-proY 419,488 &rarr; 422,359]	G6233 // EG12168	+
TU0-4404		[puuP 1,357,802 &larr; 1,359,373]	G0-16737 // G6643	-
TU0-7722		[otsBA 1,980,096 &larr; 1,982,442]	EG11752 // EG11751	-
TU0-13325		[relBE 1,645,346 &larr; 1,645,872]	EG10836 // EG11131	-
TU0-8742	PHOSPHO-ARCA	[yfiF 2,717,491 &larr; 2,718,528]	EG11786	-
TU0-13799	MONOMER0-155 // CPLX0-7671 // EG12105-MONOMER // G7072-MONOMER	[argO 3,068,173 &larr; 3,068,836]	EG11159	-
TU00250	G7072-MONOMER	[chpSB 4,448,402 &rarr; 4,449,042]	EG11250 // EG12096	+
TU0-14205		[yjiS 4,571,751 &rarr; 4,571,915]	G7937	+
TU68	PHOSPHO-ARCA	[xylR 3,734,906 &rarr; 3,736,157]	EG20253	+
TU0-14751	CPLX0-7721 // PHOSPHO-NARL	[dpiBA 652,172 &rarr; 654,542]	G6346 // G6345	+
TU0-12897		[yahM 345,404 &rarr; 345,649]	G6192	+
TU0-42689		[yihUTS 4,070,515 &larr; 4,073,634]	EG11845 // EG11846 // EG11847	-
TU0-7401	CPLX0-226	[agp 1,065,326 &rarr; 1,066,857]	EG10033	+
TU0-13307	PHOSPHO-PHOP // G7072-MONOMER	[mgtS 1,622,588 &rarr; 1,622,799]	G0-8892	+
TU0-8726		[yeiG 2,243,910 &rarr; 2,244,746]	EG12026	+
TU0-13781		[ygfK-ssnA 3,015,992 &rarr; 3,020,489]	G7498 // G7497	+
TU00234	PD00288 // CPLX0-7797 // PHOSPHO-HYDG // G7072-MONOMER	[acrEF 3,413,702 &rarr; 3,418,177]	EG10266 // EG10267	+
TU0-14188		[yjhV 4,509,009 &rarr; 4,510,133]	G7907	+
TU582		[rnb 1,346,942 &larr; 1,349,129]	EG11620	-
TU0-14717		[sibC 3,056,851 &rarr; 3,056,991]	G0-8886	+
TU0-1196		[dnaN-recF 3,880,148 &larr; 3,882,348]	EG10828 // EG10242	-
TU0-12881	CPLX0-7680	[ykgMO 312,374 &larr; 312,805]	G6167 // G0-10434	-
TU0-42640	PD00353	[rpoE-rseABC 2,707,322 &larr; 2,710,230]	G0-16690 // G7347 // G7348 // EG12341 // EG11897	-
TU0-7162	G7072-MONOMER	[rfaQGPSBIJYZ-waaU 3,798,239 &larr; 3,808,180]	EG11423 // EG11426 // EG11425 // EG11353 // EG11352 // EG11351 // EG11350 // EG11340 // EG11339 // EG11341	-
TU0-13290		[yddAB 1,575,247 &larr; 1,579,342]	EG11742 // EG11743	-
TU0-8709	PD00353	[ydhQ 1,744,871 &larr; 1,746,202]	G6894	-
TU0-13764		[ygeI 2,993,638 &rarr; 2,993,856]	G7473	+
TU00218	CPLX0-7796	[metF 4,132,537 &rarr; 4,133,506]	EG10585	+
TU0-14169	PD00353	[ridA 4,470,527 &larr; 4,470,946]	G7877	-
TU521	CPLX0-7425 // EG10442-MONOMER // PD00353	[relA-mazEF 2,910,756 &larr; 2,913,829]	EG11249 // EG10571 // EG10835	-
TU0-14688	PHOSPHO-OMPR	[yliM-ompX 850,209 &rarr; 851,009]	G0-16731 // EG12117	+
TU0-1143	CPLX0-7639 // CPLX0-7705 // EG11088-MONOMER // PHOSPHO-ARCA // CPLX0-226 // CPLX0-7797	[grcA 2,716,066 &larr; 2,716,523]	EG11784	-
TU0-12865		[insA2B2AB2-afuBC 277,756 &larr; 279,875]	G6139 // G6138 // G0-10537 // G6137 // EG12340	-
TU0-42600		[panD 146,314 &larr; 146,754]	EG11747	-
TU0-6941	PHOSPHO-ARCA	[rhoL-rho 3,966,162 &rarr; 3,967,731]	EG12428 // EG10845	+
TU0-13272	G7072-MONOMER	[curA 1,519,027 &rarr; 1,520,064]	G6760	+
TU0-8692	PD00353	[yciN 1,330,417 &larr; 1,330,668]	EG12868	-
TU0-13746		[rppH-ptsP 2,966,188 &larr; 2,968,993]	G7459 // EG12188	-
TU00201	PHOSPHO-PHOB	[phnCDEEFGHIJKLMNOP 4,314,344 &larr; 4,325,206]	EG10725 // EG10724 // EG10723 // EG10722 // EG10721 // EG10720 // EG10719 // EG10718 // EG10717 // EG10716 // EG10715 // EG11283 // EG10714 // EG10713	-
TU0-14153		[yjfIJ 4,410,133 &rarr; 4,411,251]	G7847 // G7846	+
TU443	EG11088-MONOMER // PHOSPHO-ARCA	[fabG-acpP 1,150,670 &rarr; 1,151,851]	EG50003 // EG11318	+
TU0-14669	PD00353	[menA-rraA 4,118,845 &larr; 4,120,398]	EG11879 // EG11880	-
TU0-1		[rpmF-plsX-fabHDG 1,147,338 &rarr; 1,151,404]	EG11318 // EG11317 // EG10277 // EG11437 // EG10890	+
TU0-12847		[yafJ 244,327 &rarr; 245,094]	G6107	+
TU0-42577	CPLX0-7797	[grcA 2,716,066 &larr; 2,716,506]	EG11784	-
TU0-6683	PC00010 // G7072-MONOMER	[ptrA 2,955,996 &larr; 2,959,011]	EG10786	-
TU0-13255		[hokB 1,491,922 &larr; 1,492,071]	G0-9610	-
TU0-8676		[ycbC 972,622 &larr; 973,401]	EG12166	-
TU0-13729		[ygcRQ 2,894,919 &larr; 2,896,555]	G7436 // G7435	-
TU00185	CPLX0-7669 // PD00360 // G7072-MONOMER	[lysA 2,977,637 &larr; 2,978,951]	EG10549	-
TU0-14133	G6638-MONOMER // PD00353	[rdcAB 4,327,064 &rarr; 4,330,238]	G7823 // EG11210	+
TU359		[cutA 4,365,018 &larr; 4,365,392]	EG12177	-
TU0-14646		[yfgM 2,638,663 &larr; 2,639,433]	G7321	-
TU-8419	G7072-MONOMER // PHOSPHO-ARCA	[yieEF 3,893,829 &rarr; 3,895,218]	EG11723 // EG11722	+
TU0-1283	CPLX0-7639 // CPLX0-226	[fur 710,118 &larr; 710,723]	EG10359	-
TU0-42549	G7072-MONOMER	[feaR 1,446,378 &larr; 1,447,394]	G6706	-
TU0-6631	PD00353	[tyrP 1,989,502 &rarr; 1,990,892]	EG11041	+
TU0-13237	G7072-MONOMER	[pinR 1,433,084 &larr; 1,433,674]	G6697	-
TU0-8657	EG12386-MONOMER	[yqhC 3,154,262 &larr; 3,155,218]	G7563	-
TU0-13712		[ygaY 2,808,316 &rarr; 2,809,493]	G7403	+
TU00169	PD00338 // PHOSPHO-ARCA // CPLX0-226 // G7072-MONOMER	[gatYZABCD 2,171,833 &larr; 2,177,234]	EG12417 // EG12416 // EG12415 // EG12414 // G7128 // EG12419	-
TU0-14117		[yjbLM 4,260,321 &rarr; 4,261,306]	EG11931 // EG11930	+
TU301	CPLX0-7681	[xapAB 2,522,698 &larr; 2,524,910]	EG13159 // G85	-
TU0-14627	CPLX0-7705 // CPLX0-226	[trg 1,492,439 &rarr; 1,494,110]	EG11018	+
TU-8391		[bamD 2,735,961 &rarr; 2,736,883]	G7352	+
TU0-12811	CPLX0-226 // G7072-MONOMER	[ppdD-hofBC 114,522 &larr; 117,705]	EG12107 // EG12106 // EG11798	-
TU0-42525		[frr 192,814 &rarr; 193,498]	EG10335	+
TU0-6557	PD00353	[pyrG-eno 2,906,643 &larr; 2,909,717]	EG10258 // EG10810	-
TU0-13220	PHOSPHO-ARCA	[ynaJ 1,397,365 &rarr; 1,397,622]	G6668	+
TU0-8640	G7072-MONOMER	[yniB 1,808,697 &larr; 1,809,263]	G6931	-
TU0-13694		[yfjPQ 2,767,710 &rarr; 2,769,486]	G7368 // G7367	+
TU00153	CPLX0-7756 // PC00027 // MONOMER0-183 // CPLX0-6	[hycABCDEFGHI 2,842,477 &larr; 2,850,461]	G7414 // EG10481 // EG10480 // EG10479 // EG10478 // EG10477 // EG10476 // EG10475 // EG10474	-
TU0-14094		[eptC 4,148,532 &larr; 4,150,265]	EG11914	-
TU163	CPLX0-226 // G7072-MONOMER	[ompR-envZ 3,534,473 &larr; 3,536,755]	EG10269 // EG10672	-
TU0-14608		[acnB 131,564 &rarr; 134,212]	EG12316	+
TU0-12794		[mokC-hokC 16,751 &larr; 16,960]	EG10373 // G0-9563	-
TU0-42501	CPLX0-8597	[bluF 1,214,264 &larr; 1,215,506]	G6603	-
TU0-6506		[hisS 2,639,301 &larr; 2,640,642]	EG10453	-
TU0-13203	PC00040	[yciW 1,348,980 &larr; 1,350,132]	G6640	-
TU0-8622		[yjhD 4,506,626 &larr; 4,506,856]	G7902	-
TU0-13675		[rluD-pgeF 2,734,303 &larr; 2,736,011]	EG12098 // EG12097	-
TU00136	EG12116-MONOMER // G7947-MONOMER // EG11356-MONOMER // G6165-MONOMER // PHOSPHO-OMPR // EG12123-MONOMER // EG11449-MONOMER // PC00084 // CPLX0-7639 // PC00027 // PD00288 // CPLX0-226 // MONOMER0-2741	[flhDC 1,977,200 &larr; 1,978,395]	EG10319 // EG10320	-
TU0-14073	G7072-MONOMER	[fdhD 4,086,016 &rarr; 4,086,849]	EG11859	+
TU00522	MONOMER0-4276 // PC00061 // EG11088-MONOMER // CPLX0-7797 // CPLX0-226 // EG12386-MONOMER // PHOSPHO-OMPR	[pdhR-aceEF-lpdA 121,656 &rarr; 129,394]	EG11088 // EG10024 // EG10025 // EG10543	+
TU0-14552		[phnLMNOP 4,314,344 &larr; 4,317,925]	EG10725 // EG10724 // EG10723 // EG10722 // EG10721	-
TU0-42477	PD00519 // EG11554-MONOMER // PD00288 // CPLX0-7916 // PD00353 // G7072-MONOMER	[leuO 84,304 &rarr; 85,312]	EG10531	+
TU0-6425	CPLX0-226 // PD00353 // PHOSPHO-ARCA	[manA 1,688,551 &rarr; 1,689,751]	EG10566	+
TU0-13180		[ychS 1,286,709 &rarr; 1,286,984]	G6631	+
TU0-8605		[yigE 4,000,292 &larr; 4,001,056]	EG11462	-
TU0-13657		[trmJ 2,662,583 &larr; 2,663,323]	G7327	-
TU00120	CPLX0-226 // G7072-MONOMER	[cpdB 4,434,622 &larr; 4,436,629]	EG10160	-
TU0-14056		[pepQ-yigZ-trkH-hemG 4,031,147 &rarr; 4,035,153]	EG11485 // EG11021 // EG11484 // EG10698	+
TU00506	CPLX0-7705	[leuX 4,496,311 &rarr; 4,496,529]	EG30053	+
TU0-14530		[rrlE-rrfE 4,210,013 &rarr; 4,213,209]	EG30074 // EG30081	+
TU0-42457		[csrA 2,818,961 &larr; 2,819,370]	EG11447	-
TU0-6223	CPLX0-7705 // PHOSPHO-HYDG // G7072-MONOMER	[metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp 3,308,999 &larr; 3,318,297]	EG10743 // EG10914 // EG11177 // EG11178 // EG10505 // EG10665 // EG11179 // EG30061	-
TU0-13163	EG12386-MONOMER	[pdeG 1,217,328 &rarr; 1,218,851]	G6608	+
TU0-8588		[yhjB 3,671,292 &larr; 3,671,894]	EG12246	-
TU0-13639		[nudK 2,582,903 &larr; 2,583,478]	EG12410	-
TU00104	CPLX0-7797 // CPLX0-226 // PD00353 // PHOSPHO-ARCA	[fumA 1,686,705 &larr; 1,688,440]	EG10356	-
TU0-13569	PHOSPHO-BASR	[arnBCADTEF 2,365,910 &rarr; 2,373,278]	G7171 // G0-10460 // G7170 // G7169 // G7168 // G7167 // G7166	+
TU0-14040		[yifK 3,980,887 &rarr; 3,982,272]	EG11459	+
TU00490	CPLX0-7705	[thrW 262,775 &rarr; 262,946]	EG30104	+
TU0-14511	CPLX0-8075	[cysH 2,887,578 &larr; 2,888,342]	EG10189	-
TU0-4201	CPLX0-7797 // PHOSPHO-ARCA // PC00027 // EG12386-MONOMER	[hemA-prfA-prmC 1,263,651 &rarr; 1,266,927]	EG12424 // EG10761 // EG10427	+
TU0-5781	PD00353	[mutY-yggX 3,102,911 &rarr; 3,104,368]	G7532 // EG10627	+
TU0-13145	G7072-MONOMER	[rluE-nudJ 1,193,827 &larr; 1,194,951]	G6581 // G6580	-
TU0-8571		[tsaD 3,209,530 &larr; 3,210,543]	EG11171	-
TU0-13622		[cysZ 2,531,463 &rarr; 2,532,224]	EG10003	+
TU00087	MONOMER0-162	[tyrB 4,267,082 &rarr; 4,268,340]	EG11040	+
TU0-13553	G7072-MONOMER // PHOSPHO-ARCA	[yejG 2,277,893 &larr; 2,278,277]	EG12042	-
TU0-14022	PHOSPHO-HYDG	[mdtL 3,891,615 &rarr; 3,892,790]	EG11720	+
TU00474		[glnB 2,687,070 &larr; 2,687,526]	EG10384	-
TU0-14489		[xerD-dsbC-recJ 3,036,373 &larr; 3,039,851]	EG10830 // EG11070 // EG11071	-
TU0-41739	G6664-MONOMER	[mpaA 1,389,870 &larr; 1,390,598]	G6662	-
TU0-5522	RPON-MONOMER // EG11431-MONOMER	[yicR-rpmBG-mutM 3,810,343 &larr; 3,812,577]	EG10329 // EG10891 // EG10886 // EG11312	-
TU0-13128	PD00266 // PC00010	[dinI 1,121,242 &larr; 1,121,509]	G6558	-
TU0-8554	G7072-MONOMER	[yaiZ 399,454 &rarr; 399,805]	G6229	+
TU0-13605		[yfdRST 2,474,984 &rarr; 2,476,178]	G7232 // G7231 // G7230	+
TU00071	PC00010	[uvrD 3,997,907 &rarr; 4,000,177]	EG11064	+
TU0-13534		[dusC 2,229,438 &larr; 2,230,395]	EG12022	-
TU0-14007	G7072-MONOMER	[selC 3,836,198 &rarr; 3,836,316]	EG30092	+
TU00456	EG12116-MONOMER // CPLX0-7639 // CPLX0-7797 // PD04132	[soxR 4,277,447 &rarr; 4,277,957]	EG10957	+
TU0-14466	G7072-MONOMER // PD00353	[ribE-nusB-thiL-pgpA 434,504 &rarr; 437,107]	EG10704 // G6234 // EG10666 // EG11322	+
TU0-3862		[nhaAR 17,317 &rarr; 19,620]	EG11078 // EG10652	+
TU0-5183	PD00353	[usg-truA-dedA 2,434,082 &larr; 2,436,890]	EG10216 // EG10454 // EG11059	-
TU0-13112		[torS 1,053,434 &larr; 1,056,178]	G6514	-
TU0-8538		[yaaI 11,382 &larr; 11,786]	G8202	-
TU0-13588		[yfcG 2,420,621 &rarr; 2,421,268]	G7194	+
TU00055	CPLX-123	[purC 2,596,905 &larr; 2,597,781]	EG10791	-
